cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6
 3.046850e-02; 4.576578e-02; 1.026007e-02; 2.651729e-02; 4.158696e-02; 2.668788e-02; 3.997622e-02
 1.252019e-02; 1.982855e-02; 1.273424e-02;-6.074515e-03; 6.661760e-03; 1.095978e-02; 1.800876e-02
-8.901976e-03;-8.459441e-03;-9.225100e-03;-6.616270e-03; 1.135875e-03;-3.267145e-03;-1.549413e-02
-1.892187e-02;-2.003401e-02;-2.504181e-02;-3.155360e-02;-2.382481e-02;-1.642505e-02;-4.536352e-02
 9.557457e-03; 8.728436e-03; 1.701334e-02; 2.269867e-03; 2.216562e-03; 2.569714e-03; 3.121730e-02
-2.817001e-02;-2.273718e-02;-4.448610e-02;-3.642753e-02;-2.011566e-02;-2.898387e-02;-5.045879e-02
-3.197367e-02;-2.062851e-02;-3.991231e-02;-1.507963e-02;-2.255110e-02;-2.818878e-02;-5.443240e-02
-1.431362e-03;-1.164175e-02;-1.908729e-02;-6.129953e-03;-1.139818e-02;-3.974753e-03;-5.896610e-03
-3.189115e-02;-2.208461e-02;-1.930041e-02;-2.313549e-02;-2.273875e-02;-2.613794e-02;-2.159444e-02
 8.073194e-03; 6.844353e-03;-5.638582e-03;-8.039758e-03; 5.623288e-03; 6.038270e-03;-8.268034e-03
 1.750407e-03; 6.388779e-04;-1.315064e-02; 2.056117e-02; 1.228411e-02; 8.588793e-03;-3.429610e-03
 2.522315e-02; 1.913991e-02; 2.378785e-02; 1.157196e-02; 2.077979e-02; 1.985882e-02; 9.952129e-03
 3.700303e-03;-1.075833e-04; 2.516980e-02;-8.702992e-03;-1.385449e-02;-2.065182e-03; 5.579868e-04
-1.438501e-03; 2.049297e-04; 1.142304e-02;-5.692790e-03;-2.182598e-03; 6.231312e-03; 1.445358e-03
-3.403718e-02;-3.062482e-02;-1.596028e-02;-4.115830e-02;-2.905285e-02;-3.253001e-02;-4.339220e-02
 3.461438e-02; 3.233577e-02; 6.426998e-02; 2.129710e-02; 3.970561e-02; 3.183544e-02; 2.276392e-02
 1.672918e-02; 5.287806e-03; 1.009274e-02; 5.265026e-03; 7.221339e-04; 3.141368e-03; 4.467879e-03
-1.944390e-02;-2.690136e-02;-2.702591e-02;-3.403799e-02;-2.908044e-02;-3.271321e-02;-4.911006e-02
-7.832757e-03;-9.081991e-03; 2.568919e-02; 3.733758e-03;-9.227768e-03;-9.636561e-03;-1.293847e-02
-2.158228e-02;-1.862989e-02;-1.155637e-02;-2.171323e-03;-2.859868e-02;-1.885224e-02;-1.570892e-02
-2.863765e-02;-2.446689e-02;-2.293160e-02;-2.724463e-02;-3.217240e-02;-2.851914e-02;-2.435423e-02
 5.500883e-02; 4.816245e-02; 4.452862e-02; 4.782386e-02; 5.994775e-02; 4.016561e-02; 6.857754e-02
-1.504306e-02;-1.652697e-02;-2.475197e-02;-1.942332e-02; 4.850177e-03;-1.519907e-02;-2.582752e-02
 1.501427e-02; 6.301400e-03; 4.739364e-02; 2.559731e-02; 8.805283e-03; 1.114415e-02;-2.326769e-03
-1.005825e-03;-9.362374e-03; 5.077933e-02;-1.283439e-02;-1.162204e-02;-9.935391e-03;-2.327782e-02
 6.692887e-02; 6.853189e-02; 5.847067e-02; 4.644612e-02; 6.567617e-02; 5.138281e-02; 3.316231e-02
 1.554116e-02; 9.778006e-03;-2.718907e-03;-1.092149e-03; 8.600490e-03;-8.062681e-03; 1.189592e-02
-1.504613e-02;-1.343434e-03;-2.220770e-02; 1.691881e-03;-1.773424e-02;-6.728275e-03;-3.772947e-02
 6.345325e-03; 7.663827e-03; 6.125876e-03;-2.181774e-02; 1.070711e-02; 3.587931e-03;-2.230120e-02
 3.600239e-02; 3.885588e-02; 3.729081e-02; 3.968304e-02; 2.492130e-02; 3.715778e-02; 4.272378e-02
 5.988336e-02; 5.882510e-02; 8.121604e-02; 4.016018e-02; 5.677758e-02; 6.312464e-02; 3.604200e-02
-1.642035e-02;-9.004203e-03;-3.879911e-02;-3.485875e-02;-1.759242e-02;-2.476574e-02;-1.894253e-02
-1.562164e-02;-2.196658e-02;-3.314212e-02;-2.197609e-02;-3.132402e-02;-2.449965e-02;-3.139270e-02
 1.399145e-03; 3.082379e-03;-5.618143e-04; 2.559899e-03; 6.914866e-03;-7.815376e-03;-1.193403e-02
