cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6
 6.780437e-03; 1.984832e-02;-1.295211e-02; 2.014003e-02; 1.694465e-02;-8.337592e-03; 2.466043e-02
-1.573321e-02;-5.810731e-03;-1.047120e-02;-3.405827e-02;-1.945470e-02;-1.900742e-02;-1.523853e-02
-5.459937e-03;-1.117652e-02;-1.171629e-02;-2.929214e-04;-3.762756e-03;-3.198371e-03;-2.621124e-02
-1.537097e-02;-1.900257e-02;-1.985892e-02;-3.727284e-02;-1.884871e-02;-1.708585e-02;-4.686749e-02
 7.950520e-04; 1.714298e-03; 1.503798e-02;-1.279316e-02;-2.684201e-03;-1.547155e-03; 2.271727e-02
-2.407726e-02;-2.302397e-02;-3.487942e-02;-2.504713e-02;-2.043441e-02;-2.756352e-02;-4.170974e-02
-2.853411e-02;-1.328285e-02;-4.279216e-02;-1.778586e-03;-2.433083e-02;-2.493945e-02;-3.825901e-02
 4.228254e-03;-6.356096e-03;-1.064610e-02; 4.534905e-03;-6.339198e-04; 6.765789e-04;-2.106579e-03
-3.270370e-02;-2.942126e-02;-2.457255e-02;-2.585386e-02;-3.067231e-02;-3.136529e-02;-2.087584e-02
 1.740322e-02; 1.168241e-02;-4.682974e-03;-1.924047e-02; 2.402554e-02; 8.454702e-03;-7.954287e-03
-8.343752e-03;-7.082811e-03;-1.878517e-02; 2.201446e-02; 4.910922e-03; 4.546912e-03; 1.516821e-02
 8.109377e-03; 6.198275e-03; 8.905676e-03;-6.855436e-03; 7.636590e-03; 2.456324e-03;-6.635155e-03
 1.534040e-02; 1.042118e-02; 5.191747e-03;-7.843972e-03; 2.019967e-03;-4.295825e-04;-6.201436e-03
 6.665404e-03; 2.002084e-03; 2.210097e-02;-1.317876e-03; 6.127260e-04; 1.217686e-02; 1.036235e-02
-3.277933e-02;-2.447289e-02;-7.301602e-03;-5.827358e-02;-3.146782e-02;-2.914288e-02;-4.599504e-02
 2.872941e-02; 2.626718e-02; 2.254630e-02; 1.362478e-02; 3.861877e-02; 2.027278e-02; 1.909656e-02
 2.325772e-02; 1.234042e-02; 1.662028e-02; 1.007601e-02; 3.259215e-03; 1.383522e-02; 1.376043e-02
-3.106376e-05;-9.195006e-03;-7.851422e-04;-1.491011e-02;-9.306797e-03;-7.975885e-03;-6.898851e-03
-2.154550e-02;-1.917899e-02; 3.473847e-02; 2.272792e-03;-1.936709e-02;-2.289971e-02;-1.210584e-02
-1.310382e-02;-1.349702e-02;-1.346187e-02; 4.589829e-03;-2.014808e-02;-1.126705e-02; 3.540071e-03
-1.853011e-02;-1.850192e-02;-1.757473e-02;-1.676321e-02;-2.517720e-02;-2.687275e-02; 3.496082e-03
 5.018696e-02; 5.025958e-02; 4.911032e-02; 5.317784e-02; 6.420250e-02; 4.789037e-02; 6.194121e-02
-1.103323e-02;-1.186619e-02;-2.195648e-02;-1.822412e-02; 8.300063e-03;-6.840851e-03;-1.879150e-02
 2.458499e-02; 1.074781e-02; 6.953005e-02; 3.971084e-02; 1.591904e-02; 1.822014e-02;-2.984136e-03
 7.478152e-03;-4.720863e-04; 7.056087e-02;-2.845584e-02;-5.647873e-04;-3.052368e-03;-3.293606e-02
 6.772866e-02; 7.630585e-02; 5.960131e-02; 4.935203e-02; 6.273776e-02; 5.064984e-02; 2.984318e-02
 2.309400e-02; 1.770572e-02; 2.526941e-03;-9.808979e-04; 1.735711e-02;-8.238294e-04; 2.005357e-02
-1.250845e-02; 6.047118e-03;-2.279031e-02; 1.236695e-02;-1.521595e-02;-1.975233e-03;-4.143718e-02
 1.437327e-02; 1.198381e-02; 1.166615e-02;-1.014854e-02; 9.023150e-03; 4.942023e-03; 2.221578e-03
 5.839744e-02; 5.834642e-02; 5.670415e-02; 6.864066e-02; 4.308330e-02; 5.418248e-02; 7.482169e-02
 8.179952e-02; 7.991055e-02; 1.103337e-01; 5.388317e-02; 7.566746e-02; 7.452826e-02; 4.831686e-02
-2.079989e-02;-6.310503e-03;-4.141882e-02;-2.996359e-02;-2.532870e-02;-2.553735e-02;-1.673075e-02
-2.685247e-02;-2.674605e-02;-3.619869e-02;-2.995192e-02;-3.203374e-02;-3.421279e-02;-2.928855e-02
-3.106648e-03; 2.110640e-03; 8.743977e-04;-3.922623e-03; 4.369089e-03;-2.874821e-03;-1.835775e-02
-2.176906e-02;-3.020933e-02;-1.929103e-02;-2.176753e-02;-2.177592e-02;-2.061482e-02; 4.474308e-03
 4.561958e-04;-3.194904e-03;-9.146674e-03;-1.663893e-02; 5.607321e-03;-1.929296e-03; 1.618540e-02
 1.938061e-02; 1.483364e-02; 3.792719e-02; 6.926532e-03; 1.382727e-02; 1.047082e-02; 3.350256e-02
-1.756929e-02;-1.885698e-02;-2.256931e-02;-1.782294e-02;-1.039627e-02;-1.561720e-02;-2.685275e-02
-1.584533e-02;-1.085481e-02;-1.925862e-02;-1.930229e-02;-1.398540e-02;-1.511066e-02;-4.258318e-02
 1.643492e-02; 2.628017e-02; 2.247512e-02; 9.115237e-03; 3.194343e-02; 1.003260e-02; 1.341464e-02
 1.612008e-02; 1.021102e-02; 5.203382e-02; 8.622405e-03; 1.358260e-02; 2.281262e-02; 1.265263e-02
 1.533141e-02; 1.930627e-02;-2.304376e-03; 1.862105e-02; 1.937230e-02; 3.261828e-02; 9.373213e-03
 3.516497e-02; 3.026384e-02; 9.246906e-02; 2.073794e-02; 2.168210e-02; 2.422657e-02; 3.778494e-02
-5.280686e-03; 4.026984e-03;-5.687109e-03; 1.372783e-02;-7.921615e-03; 6.311223e-03; 7.374580e-03
-3.819307e-03;-2.797881e-03;-1.055120e-02; 1.960981e-02;-5.734813e-03;-3.819094e-03; 2.059804e-02
 1.117020e-02; 6.417001e-03; 1.491884e-02; 1.399384e-02; 5.456040e-03; 7.446640e-03; 1.433014e-02
-8.092538e-03;-4.295290e-03;-2.509955e-03;-1.174666e-02;-1.395006e-02;-1.349630e-02;-2.980013e-03
-6.171113e-03;-1.047042e-02;-1.476921e-02;-1.398612e-02;-1.244813e-02;-1.241491e-04;-3.124109e-02
 3.888941e-03; 4.966997e-03;-5.835931e-03; 3.656219e-03; 1.027024e-02; 7.830148e-03;-7.048693e-03
 1.555656e-02; 3.726895e-03; 4.586573e-02;-4.075169e-03; 9.660094e-03; 5.542263e-03; 1.590640e-02
-1.451357e-02;-2.176114e-02;-3.198005e-02; 6.636588e-03;-6.033208e-03;-5.161879e-03;-2.700259e-02
