cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6
-1.007248e-02;-1.001624e-02;-9.284309e-03;-3.879502e-03;-7.705021e-03;-1.235471e-02;-1.991035e-02
-2.172363e-02;-1.924028e-02;-2.289899e-02;-5.674930e-03;-2.700496e-02;-1.266330e-02;-2.094293e-03
-3.924876e-02;-4.610998e-02;-3.606426e-02;-3.104292e-02;-4.024751e-02;-4.643635e-02;-4.095192e-02
-2.564451e-03;-2.514389e-03;-1.161358e-02;-1.146358e-02;-9.782231e-03; 7.814037e-03;-1.061070e-04
 2.278036e-02; 2.489770e-02; 2.541202e-02; 1.735276e-02; 2.795092e-02; 2.343403e-02; 1.333436e-02
-3.101974e-02;-2.897146e-02;-3.042305e-02;-2.468765e-02;-2.598609e-02;-3.195738e-02;-1.680891e-02
 1.123774e-01; 8.798118e-02; 9.998927e-02; 8.257041e-02; 1.340929e-01; 1.049960e-01; 5.736051e-02
 3.358423e-02; 2.428355e-02; 2.496315e-02; 2.938121e-02; 3.573247e-02; 1.759327e-02; 7.983608e-03
-2.689283e-03;-3.030989e-03;-6.033889e-03;-3.050130e-03;-4.661999e-03; 7.536764e-03;-1.572348e-03
-5.820385e-03;-6.873243e-03;-9.600482e-03;-6.768349e-03;-1.765167e-02; 5.010788e-03;-2.027924e-02
-7.230693e-03;-4.120205e-03;-7.294214e-03;-4.740945e-03;-5.596141e-03;-5.578950e-03;-7.066387e-03
 2.065136e-02; 2.448201e-02; 1.462944e-02; 2.014075e-02; 2.160164e-02; 1.807979e-02; 2.101339e-03
-4.571494e-03;-8.216892e-03;-2.969140e-03; 4.554191e-04; 2.508950e-04;-1.236025e-03; 1.135085e-03
-2.508907e-02;-3.713148e-02;-8.416785e-03;-2.801927e-02;-2.300302e-02;-3.367343e-02;-2.711835e-02
 1.266933e-02; 1.008389e-02; 6.778027e-03; 2.653919e-02; 2.733374e-03; 8.287477e-03; 1.286467e-02
-3.545614e-02;-3.200960e-02;-3.058217e-02;-2.331906e-02;-4.032435e-02;-2.767669e-02;-9.520193e-03
 2.972261e-02; 1.357461e-02; 3.868987e-02; 2.652404e-02; 4.209880e-02; 2.404010e-02; 8.248600e-03
-1.652307e-02;-1.658532e-02;-1.578322e-02;-1.577157e-02;-7.511074e-03;-1.584037e-02; 2.963846e-03
