cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6
-7.552423e-03;-8.490276e-03;-5.830979e-03;-1.726848e-03;-6.406728e-03;-4.391113e-03;-1.003845e-02
-1.930469e-02;-1.712337e-02;-2.007801e-02;-6.307911e-03;-2.096217e-02;-1.576646e-02; 2.774658e-03
 3.515385e-02; 2.324176e-02; 3.269700e-02; 3.243016e-02; 4.103331e-02; 2.080509e-02; 1.609252e-02
-8.810992e-03;-8.226190e-03;-9.941661e-03; 9.006189e-03;-1.366527e-02; 8.588288e-03; 1.124764e-02
 2.878736e-02; 2.983497e-02; 3.206728e-02; 3.214520e-02; 2.151262e-02; 3.164618e-02; 3.151389e-02
-8.202008e-03;-6.692259e-03;-8.321059e-03;-8.354225e-03;-3.537763e-03;-7.650147e-03;-3.619450e-03
 7.824377e-02; 6.044337e-02; 6.439958e-02; 5.640622e-02; 9.106752e-02; 6.820682e-02; 4.710793e-02
 2.297027e-02; 1.344098e-02; 1.565668e-02; 1.624626e-02; 2.273049e-02; 6.463195e-03;-3.084710e-03
 1.437593e-03; 3.330618e-03;-1.682337e-03; 2.177118e-03;-3.238897e-03; 9.662910e-03; 2.929742e-03
-8.506190e-03;-3.521689e-03;-1.647081e-02;-1.669121e-02;-2.151543e-02;-4.555672e-03;-2.081668e-02
-8.962909e-03;-7.615519e-03;-1.146324e-02;-8.186771e-03;-1.112313e-02;-6.748118e-03;-4.165367e-03
 1.041665e-02; 1.130465e-02; 6.817565e-03; 8.024924e-03; 8.263991e-03; 1.522566e-02;-1.849879e-03
 6.339907e-02; 4.956662e-02; 6.092994e-02; 5.100326e-02; 7.637560e-02; 5.855370e-02; 2.945285e-02
-2.605507e-02;-3.345469e-02;-1.380851e-02;-2.507700e-02;-2.556933e-02;-3.502504e-02;-2.518479e-02
 1.964861e-03; 3.160705e-03;-1.631164e-03; 1.289841e-02;-1.021538e-02;-1.043349e-03; 9.041249e-03
-1.866372e-02;-1.592952e-02;-1.603337e-02;-1.195866e-02;-2.382143e-02;-1.521326e-02;-7.075581e-05
 1.152167e-02; 4.547702e-03; 1.830161e-02; 1.426753e-02; 1.963497e-02; 1.320110e-02;-9.938828e-03
-1.295657e-02;-1.273012e-02;-1.096256e-02;-1.272343e-02;-7.514252e-03;-1.433579e-02; 2.926384e-03
-2.555359e-02;-2.609840e-02;-1.603020e-02;-1.991611e-02;-2.439034e-02;-3.016976e-02;-2.136092e-02
-9.162433e-03;-4.425992e-03;-1.316813e-02;-1.837192e-02;-1.529900e-02;-7.873700e-03;-1.609698e-02
 2.457261e-02; 2.551685e-02; 2.138561e-02; 1.859878e-02; 1.429169e-02; 2.033394e-02; 1.851976e-02
 3.002840e-02; 2.031037e-02; 2.251799e-02; 1.784815e-02; 2.874539e-02; 2.725679e-02; 2.690797e-02
-3.567446e-03; 8.473284e-03;-5.481973e-05;-2.287939e-03; 3.610735e-03;-2.118711e-03; 1.242425e-02
-1.054728e-02;-9.837551e-04;-8.786628e-03;-5.828295e-03;-8.665262e-03;-1.127737e-02;-1.620556e-02
-2.153428e-02;-1.464226e-02;-1.974875e-02;-1.953791e-02;-1.812756e-02;-1.518689e-02;-4.748535e-03
