Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;ADHD;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;ADHD;0;Genetic_all;Human_brain_DLPFC_151673
n.s. genetic top;ADHD;9;Genetic_top;Human_brain_DLPFC_151673
significant genetic top;ADHD;0;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;ADHD;9;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;ADHD;0;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;AHD;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;AHD;0;Genetic_all;Human_brain_DLPFC_151673
N/A;AHD;9;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;AHD;9;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;AHD;0;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;ALS;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;ALS;0;Genetic_all;Human_brain_DLPFC_151673
N/A;ALS;9;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;ALS;9;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;ALS;0;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;ALZ;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;ALZ;0;Genetic_all;Human_brain_DLPFC_151673
n.s. genetic top;ALZ;4;Genetic_top;Human_brain_DLPFC_151673
significant genetic top;ALZ;5;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;ALZ;9;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;ALZ;0;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;ASD;4;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;ASD;5;Genetic_all;Human_brain_DLPFC_151673
n.s. genetic top;ASD;9;Genetic_top;Human_brain_DLPFC_151673
significant genetic top;ASD;0;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;ASD;9;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;ASD;0;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;BIP;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;BIP;0;Genetic_all;Human_brain_DLPFC_151673
N/A;BIP;9;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;BIP;0;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;BIP;9;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;EPI;0;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;EPI;9;Genetic_all;Human_brain_DLPFC_151673
n.s. genetic top;EPI;0;Genetic_top;Human_brain_DLPFC_151673
significant genetic top;EPI;9;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;EPI;0;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;EPI;9;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;INS;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;INS;0;Genetic_all;Human_brain_DLPFC_151673
n.s. genetic top;INS;9;Genetic_top;Human_brain_DLPFC_151673
significant genetic top;INS;0;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;INS;9;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;INS;0;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;MDD;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;MDD;0;Genetic_all;Human_brain_DLPFC_151673
N/A;MDD;9;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;MDD;0;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;MDD;9;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;MS;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;MS;0;Genetic_all;Human_brain_DLPFC_151673
N/A;MS;9;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;MS;0;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;MS;9;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;PAR;0;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;PAR;9;Genetic_all;Human_brain_DLPFC_151673
n.s. genetic top;PAR;0;Genetic_top;Human_brain_DLPFC_151673
significant genetic top;PAR;9;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;PAR;9;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;PAR;0;Drugs_all;Human_brain_DLPFC_151673
n.s. genetic all;SCZ;9;Genetic_all;Human_brain_DLPFC_151673
significant genetic all;SCZ;0;Genetic_all;Human_brain_DLPFC_151673
n.s. genetic top;SCZ;9;Genetic_top;Human_brain_DLPFC_151673
significant genetic top;SCZ;0;Genetic_top;Human_brain_DLPFC_151673
n.s. drugs all;SCZ;0;Drugs_all;Human_brain_DLPFC_151673
significant drugs all;SCZ;9;Drugs_all;Human_brain_DLPFC_151673
