cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6;cluster_7;cluster_8;cluster_9;cluster_10;cluster_11;cluster_12;cluster_13;cluster_14;cluster_15;cluster_16;cluster_17;cluster_18
 4.869942e-03; 1.949324e-03; 3.662245e-02;-4.896796e-04;-1.106228e-03; 5.072260e-04; 1.312279e-02;-8.118705e-03; 1.063105e-02;-5.203706e-03; 3.640084e-03; 9.066614e-03; 5.166231e-04; 3.696545e-02; 1.343055e-02; 1.272110e-02; 4.284061e-02; 2.283662e-02; 3.503724e-02
 2.275697e-02; 2.750773e-02; 4.532721e-03; 2.832777e-02; 2.138222e-02; 1.766124e-02; 2.838860e-02; 2.271460e-02; 1.430263e-02; 2.396296e-02; 4.210732e-02; 2.951433e-02; 3.645238e-02; 3.232050e-02; 2.166295e-02; 5.756792e-02; 7.610629e-02; 5.654440e-02; 4.884738e-02
 4.467266e-02; 2.817815e-02; 3.166785e-02; 3.978752e-02; 3.623971e-02; 4.049260e-02; 3.047465e-02; 3.784250e-02; 3.982176e-02; 3.096780e-02; 5.359290e-02; 4.246279e-02; 5.675893e-02; 2.945792e-02; 3.581057e-02; 3.257916e-02; 2.654443e-02; 2.181107e-02; 2.021281e-02
 9.133775e-03; 3.167057e-03;-6.303063e-03; 1.693611e-02; 7.968400e-03; 6.139670e-03; 5.307993e-03; 8.095251e-03; 9.777092e-03; 8.018964e-03; 1.443495e-02; 9.319807e-03; 1.669874e-02;-5.019304e-03; 1.381964e-02; 1.690030e-02; 2.516537e-02; 8.369449e-03; 9.237796e-03
-2.737881e-02;-2.094785e-02;-1.542326e-02;-2.035856e-02;-2.281429e-02;-2.625217e-02;-2.248789e-02;-3.196248e-02;-1.423612e-02;-3.643533e-02;-1.275411e-02;-7.462754e-03;-1.634145e-02;-1.718328e-02;-2.140253e-02;-1.382812e-02; 4.528945e-04;-4.893643e-02;-1.625733e-02
 1.720786e-02; 1.174776e-02; 3.620651e-02; 2.841283e-02; 2.439204e-02; 1.799583e-02; 6.055436e-03; 1.010545e-02; 2.551770e-02; 1.044909e-02; 1.883215e-02; 1.735843e-02; 1.765000e-02; 2.024930e-02;-1.245153e-04; 3.586143e-02; 1.934814e-02; 1.095169e-02; 1.969847e-02
 2.366413e-02; 2.150734e-02; 4.824687e-02; 4.055976e-02; 2.861231e-02; 2.280900e-02; 3.554011e-02; 2.326005e-02; 3.577495e-02; 2.339514e-02; 2.984908e-02; 1.800984e-02; 1.021281e-02; 2.511308e-02; 2.607754e-02; 4.328515e-02; 6.758238e-02; 2.225212e-02; 5.399440e-02
-1.445552e-03;-8.026643e-03; 6.701054e-03;-1.710364e-02;-1.040575e-02;-2.327333e-02;-6.787466e-03;-2.746177e-02;-1.156887e-02;-2.943235e-02;-1.563566e-02;-1.428173e-02;-5.840881e-03;-8.073212e-04; 3.691703e-03;-9.668878e-03; 1.309975e-02; 4.889189e-02; 3.766465e-02
 4.171798e-02; 3.330292e-02;-1.173247e-03; 4.282487e-02; 3.156661e-02; 4.251512e-02; 2.949950e-02; 3.869919e-02; 3.100286e-02; 4.003826e-02; 3.721154e-02; 4.599552e-02; 4.365105e-02; 2.560290e-02; 2.328083e-02; 3.702549e-02; 1.008287e-02;-3.013720e-03; 2.998058e-02
-3.768245e-02;-2.538987e-02;-1.564107e-02;-8.049293e-04;-2.178327e-02;-1.678097e-02;-1.608463e-02;-1.179661e-02;-1.954748e-02;-1.164991e-02;-1.765957e-02;-3.704557e-02;-5.103471e-02;-1.132488e-02;-1.452271e-02;-4.497120e-02;-2.797500e-02;-2.908613e-02;-6.201182e-02
 3.851225e-02; 3.028191e-02; 2.445575e-02; 3.421069e-02; 3.536593e-02; 3.116630e-02; 2.882016e-02; 2.794872e-02; 3.050886e-02; 3.894155e-02; 4.121034e-02; 3.254296e-02; 3.252852e-02; 3.370811e-02; 3.079567e-02; 1.947455e-02; 3.659915e-02; 4.670919e-02; 5.066646e-02
 1.629176e-02; 4.071231e-02; 3.516350e-02; 5.978251e-02; 3.782278e-02; 5.776605e-02; 4.747296e-02; 4.193622e-02; 6.113292e-02; 4.987232e-02; 5.177593e-02; 3.848300e-02; 2.240107e-02; 2.254976e-02; 2.999859e-02; 4.259534e-02; 5.425241e-02;-2.338134e-02; 1.859068e-02
-5.006801e-02;-4.421540e-02;-1.775673e-02;-5.591335e-02;-4.517694e-02;-4.588795e-02;-3.651632e-02;-4.813845e-02;-3.995855e-02;-5.053656e-02;-5.129257e-02;-4.470672e-02;-5.788423e-02;-4.507961e-02;-2.719512e-02;-3.347035e-02;-3.904101e-02;-1.298960e-02;-5.910908e-02
-4.891641e-02;-2.090174e-02;-3.821064e-02;-3.588981e-02;-4.349794e-02;-6.441000e-03;-2.594098e-02;-1.164318e-02;-2.645914e-03;-5.688459e-04;-3.874911e-02;-1.132414e-02;-3.351728e-02;-2.988094e-02;-4.551014e-02;-1.905549e-04;-1.595726e-04;-3.812984e-02;-1.462381e-02
 2.453565e-02; 3.628291e-02; 2.449618e-02; 3.177654e-02; 2.846394e-02; 5.239471e-02; 3.222575e-02; 5.267954e-02; 4.522527e-02; 5.783681e-02; 2.048473e-02; 3.340339e-02; 2.756593e-02; 3.769851e-02; 1.973596e-02; 4.714251e-02; 4.530948e-02;-9.200532e-05; 2.881091e-02
-5.827535e-03;-1.205008e-02;-1.519011e-02;-3.891551e-02;-1.014101e-02;-2.250113e-02;-1.397031e-02;-3.053626e-02;-2.620189e-02;-3.007202e-02;-1.687320e-02;-1.778603e-02;-3.901702e-03;-2.066216e-02;-6.306899e-03;-2.475083e-02;-9.028951e-03;-2.610441e-02;-6.416490e-03
-3.158624e-02;-1.680823e-02;-3.928897e-02;-2.301476e-02;-2.420851e-02;-1.973402e-02;-2.224721e-02;-2.067243e-02;-2.771808e-02;-1.904784e-02;-2.876797e-02;-1.363502e-02;-1.769173e-02;-2.683182e-02;-3.270276e-02;-2.257250e-02;-1.020515e-02;-4.486312e-02;-2.983361e-02
-4.156951e-02;-1.562175e-02;-2.971579e-02;-3.241223e-02;-3.943698e-02;-2.249946e-02;-1.772113e-02;-1.717047e-02;-2.779208e-02;-1.735641e-02;-2.870964e-02;-2.008836e-02;-4.451459e-02;-2.648642e-02;-2.764357e-02;-1.419279e-02;-3.222501e-02;-1.700758e-02;-8.298891e-03
-3.446336e-02;-3.842816e-02;-3.781285e-02;-1.959093e-02;-3.660345e-02;-3.254186e-02;-4.473794e-02;-4.379485e-02;-2.650091e-02;-3.779144e-02;-2.770107e-02;-4.260090e-02;-2.054027e-02;-4.310597e-02;-4.340493e-02;-3.655596e-02;-6.953290e-02;-3.905081e-02;-6.909237e-02
-1.651905e-02;-1.693095e-02;-5.683889e-02; 1.504397e-03;-2.707373e-02;-8.856298e-03;-2.093330e-02;-3.121121e-03;-9.783160e-03;-1.020415e-03;-6.156057e-03;-1.007169e-02;-1.218052e-02;-1.504654e-02;-1.791466e-02; 1.940290e-02; 3.227782e-02;-4.524520e-02;-7.560797e-03
