cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6;cluster_7;cluster_8;cluster_9;cluster_10;cluster_11;cluster_12;cluster_13;cluster_14;cluster_15;cluster_16;cluster_17;cluster_18
-5.655335e-02;-3.234463e-02;-2.229380e-02;-3.010083e-02;-5.611131e-02;-3.523795e-02;-2.406365e-02;-4.072268e-02;-1.626569e-02;-3.918319e-02;-2.926516e-02;-2.424885e-02;-5.849482e-02;-9.900044e-03;-2.155196e-02;-1.163498e-02; 4.369436e-02;-3.743484e-02;-2.376785e-02
-7.190064e-03; 8.966572e-03; 6.771552e-03; 2.918602e-03;-3.194180e-03;-5.121314e-03; 1.738235e-02; 5.877469e-03;-6.230156e-03;-1.161684e-02; 4.161666e-03; 3.853897e-03;-1.239084e-02; 3.813402e-03; 2.010664e-02; 9.345186e-03; 2.642715e-02; 9.181752e-02; 5.187444e-02
 5.218053e-02; 3.846302e-02; 2.450717e-02; 4.770212e-02; 3.416119e-02; 4.143375e-02; 4.018908e-02; 3.363687e-02; 3.460359e-02; 4.194043e-02; 4.175057e-02; 3.965668e-02; 5.279356e-02; 1.817960e-02; 5.443404e-02; 2.793508e-02; 5.644616e-02; 9.178361e-03; 1.607764e-02
-2.251821e-02;-6.189992e-03;-4.169313e-02;-5.551588e-03;-2.893683e-02;-6.219947e-03;-1.028475e-02;-2.677685e-04; 3.384917e-03;-4.759240e-03;-5.395196e-04; 5.302716e-03;-1.198709e-04;-8.767265e-03;-1.785684e-02; 4.033257e-02; 2.210756e-02;-3.359740e-02; 2.910280e-02
-7.830690e-03;-2.006535e-02;-7.260004e-03;-7.069652e-03; 3.000976e-03;-1.328173e-02;-1.719027e-02;-2.037577e-02;-6.115005e-03;-2.573893e-02; 3.151473e-03;-7.186015e-03; 4.835358e-04;-2.375349e-02;-1.948908e-02; 1.642912e-02; 2.205364e-02;-1.262205e-02; 1.964232e-02
 1.554525e-02; 1.983431e-03; 8.182117e-03; 4.618433e-03; 1.483476e-02;-1.097783e-03;-6.875754e-03; 1.670598e-04; 1.059846e-02;-2.504046e-03; 4.694748e-04; 1.139484e-02; 2.781018e-02; 2.076551e-02;-7.746087e-03; 2.537377e-02;-5.274614e-03;-7.015028e-03; 1.530557e-02
-4.942220e-03; 1.460391e-02;-1.601671e-02; 2.850884e-02;-5.741818e-03; 7.893655e-03; 2.625727e-02; 2.771689e-02; 1.176588e-02; 1.429752e-02;-2.855968e-03; 4.046545e-03;-1.408560e-02; 1.552822e-02; 9.452396e-03; 4.341550e-02; 8.382058e-02; 2.676750e-02; 8.558389e-02
-6.780317e-03;-2.015785e-02; 1.158370e-02; 5.009999e-03;-4.695759e-03;-1.998037e-02;-2.295505e-02;-4.617830e-02;-9.544895e-03;-1.835035e-02;-5.869590e-03;-2.536244e-02;-2.350596e-02;-6.016779e-03; 1.278708e-02;-1.446240e-02;-1.262279e-02; 8.899304e-02; 1.208844e-02
 1.053138e-01; 7.990407e-02; 6.802465e-02; 7.262852e-02; 9.127287e-02; 1.051463e-01; 8.232929e-02; 8.496241e-02; 7.520061e-02; 8.578811e-02; 7.158270e-02; 8.175972e-02; 1.098807e-01; 8.248349e-02; 7.409241e-02; 7.381125e-02; 3.459604e-02; 7.379905e-02; 5.406258e-02
-1.361827e-02; 5.820309e-03; 4.276729e-02; 3.021277e-02; 1.299731e-02; 2.626407e-02; 3.272875e-02; 2.257681e-02; 4.086978e-02; 4.265839e-02; 4.020301e-03; 7.047069e-03;-3.039600e-02; 2.781208e-02; 1.190195e-02;-2.225684e-02; 3.388476e-02;-2.426114e-02;-2.701239e-02
